Community_Unit,School_ID,Name,O_level_students,A_level_students,Boarding_students,Day_students,Boarding_fee_for_S3,Day_fee_for_S3,Boarding_fee_S5,Day_fee_S5,Female_students,Male_students,Number_of_students,Number_of _teachers,Location,Date_school_enrolled
Hoima,51282,Duhaga Secondary School,1,1,1,,400000,,400000,,1,1,70,38,Urban,2011-12-04
Makindye,24174,Green Hill Academy School,1,1,1,1,1600000,1000000,1600000,1000000,1,1,120,33,Urban,2015-08-15
Makindye,11756,Katuuso Community Secondary School,1,1,1,1,300000,150000,300000,170000,1,1,24,10,Urban,2011-02-28
Hoima,37497,Kitara Secondary School,1,1,1,,200000,,200000,,1,1,47,12,Urban,2009-09-14
Makindye,98258,"Light High School, Seguku",1,1,1,1,425000,185000,455000,205000,1,1,50,17,Peri-Urban,2009-10-24
Kawempe-Nakawa,22710,Midland High School,1,1,1,,650000,,650000,,1,1,130,22,Peri-Urban,2009-06-08
Kapchorwa-Mbale,10313,Nabumali High School,1,1,1,,,,560000,,1,1,120,40,Rural,2010-02-24
Hoima,65018,Sir Tito Winyi Secondary School,1,1,1,1,388000,180000,388000,180000,1,1,46,12,Rural,2009-10-10
Makindye,93721,Taibah International School,1,1,1,,1600000,,1600000,,1,1,50,20,Urban,2011-08-23
Lira,21426,King James,1,1,1,,300000,,340000,,1,1,200,20,Rural,2010-04-22
Lira,22527,Lango College,1,1,1,,392200,,352200,,,1,67,56,Peri-Urban,2012-03-23
Lira,53828,Rachelle Comprehensive School,1,,1,,354200,,,,1,1,58,8,Peri-Urban,2013-05-16
Lira,25329,St. Katherine,1,1,1,,454700,,405700,,1,,63,28,Rural,2017-11-13
Kapchorwa-Mbale,84730,"St. Paul's College, Mbale",1,1,1,,,,584000,,1,1,95,14,Urban,2014-02-11
Makindye,16931,Aidan College,1,1,1,1,440000,260000,500000,260000,1,1,150,24,Urban,2016-11-04
Kapchorwa-Mbale,52334,Chemwania High School,1,1,1,1,,,223800,98300,1,1,70,15,Rural,2017-07-25
Kapchorwa-Mbale,39636,Gamatui Girls,1,1,1,,,,302000,,1,,19,10,Rural,2011-04-02
Bugiri-Iganga,92437,Iganga High School,1,1,1,1,380000,180000,380000,180000,1,1,300,39,Urban,2012-10-24
Bugiri-Iganga,69638,Iganga Secondary School,1,1,1,,618400,,618400,,1,,157,30,Urban,2011-08-19
Masaka,85941,Kabuwoko Secondary School,1,1,1,1,205000,85000,400000,150000,1,1,50,10,Rural,2016-01-02
Masaka,58842,Kako Senior Secondary School,1,1,1,,469000,,510000,,1,1,80,21,Rural,2012-05-14
Makindye,73643,Kakungulu Memorial School,1,1,1,1,600000,300000,600000,300000,1,1,220,31,Urban,2014-01-23
Kapchorwa-Mbale,80944,Kapchorwa Secondary School,1,1,,1,,65000,,110000,1,1,70,12,Urban,2017-11-28
Kapchorwa-Mbale,55548,Mbale Comprehensive High School,1,1,1,1,,,457500,182500,1,1,250,15,Urban,2016-06-26
Rubaga,79250,Najjanankumbi Young Christian Secondary School,1,1,1,1,550000,280000,600000,300000,1,1,73,16,Urban,2014-08-22
Mukono,36253,"Our Lady of Africa Secondary School, Namilyango",1,1,1,,790000,,790000,,1,1,200,32,Peri-Urban,2017-02-13
Kapchorwa-Mbale,32856,"Sebei College, Tegeres",1,1,1,,,,381000,,1,1,76,29,Rural,2011-01-04
Lugazi,36757,St. Andrew's Senior Secondary School,1,1,1,1,350000,180000,450000,200000,1,1,40,9,Peri-Urban,2011-02-20
Jinja 1,62659,"St. John's Secondary School, Wakitaka",1,1,1,1,290000,85000,350000,85000,1,1,100,30,Peri-Urban,2013-01-26
Lugazi,11061,"St. Mary's College, Lugazi",1,1,1,1,730000,200000,730000,200000,1,1,300,27,Peri-Urban,2014-08-27
Bugiri-Iganga,95863,Victoria High School,1,1,1,1,423000,245000,445000,295000,1,1,50,7,Urban,2009-10-01
Jinja 2,19764,Wanyange Girls Secondary School,1,1,1,,750000,,780000,,1,,120,22,Peri-Urban,2011-04-24
Kawempe-Nakawa,99066,"Kalinabiri Secondary School, Ntinda",1,1,,1,,240000,,260000,1,1,105,7,Peri-Urban,2010-08-25
Rubaga,52968,Kitebi Secondary School,1,1,,1,,50000,,50000,1,1,250,43,Urban,2015-12-01
